"stat_rec","lon","lat","mean_elevation_m","mean_depth_m","depth_min_m","depth_max_m","depth_range_m","grad_bearing_cross_deg","grad_bearing_along_deg","grad_magnitude_m_per_m","elev_at_centroid_m","pct_sounding","n_cells","n_nonland","n_direct","dist_to_gebco_edge_deg","tid_flag_lt50","tid_flag_lt25"
"37F7",7.49999999995009,54.25000000005,-31.7365277777778,31.7365277777778,-19,55,74,90,180,0.000359324469996407,-40,100,28800,28776,28776,2.50000000004991,FALSE,FALSE
"37F8",8.50000000019992,54.25000000005,-6.70875,6.70875,-19,35,54,138.769501758402,228.769501758402,0.00109036562255236,-6,97.790294627383,28800,18464,18056,1.49999999980008,FALSE,FALSE
"38E9",-0.499999999800082,54.7499999999501,-52.6720833333333,52.6720833333333,-295,94,389,8.21033308826226,98.2103330882623,0.000838715604618873,-60,99.97113997114,28800,27720,27712,4.50000000019992,FALSE,FALSE
"38F0",0.500000000000057,54.7499999999501,-68.3485069444444,68.3485069444444,48,90,42,174.925924568301,264.925924568301,0.00270850145820903,-74,73.1388888888889,28800,28800,21064,4.74999999995009,FALSE,FALSE
"38F1",1.4999999998002,54.7499999999501,-30.4215625,30.4215625,11,68,57,209.991186590029,299.991186590029,0.000718840468652198,-19,81.7152777777778,28800,28800,23534,4.74999999995009,FALSE,FALSE
"38F2",2.50000000004999,54.7499999999501,-22.1061458333333,22.1061458333333,7,35,28,201.044901443413,291.044901443413,0.000667084385854511,-24,75.75,28800,28800,21816,4.74999999995009,FALSE,FALSE
"38F3",3.50000000029982,54.7499999999501,-39.9851736111111,39.9851736111111,20,47,27,0,90,0,-43,99.9861111111111,28800,28800,28796,4.74999999995009,FALSE,FALSE
"38F4",4.50000000009999,54.7499999999501,-45.76,45.76,39,50,11,229.096531732109,319.096531732109,0.00095082797791541,-46,100,28800,28800,28800,4.74999999995009,FALSE,FALSE
"38F5",5.49999999990013,54.7499999999501,-41.6471875,41.6471875,36,46,10,270,0,0.000359324469996407,-43,100,28800,28800,28800,4.50000000009988,FALSE,FALSE
"38F6",6.49999999970026,54.7499999999501,-39.0881597222222,39.0881597222222,27,45,18,0,90,0,-40,100,28800,28800,28800,3.50000000029974,FALSE,FALSE
